name,address,industry,hourly_median_gender_gap_2018,bonus_median_gender_gap_2018
HUDSON GLOBAL RESOURCES LIMITED,"Chancery+House,+53-64+Chancery+Lane,London,WC2A+1QS",Human resources provision and management of human resources functions,20.0,31.0
Hymans Robertson LLP,"One+London+Wall,London,United+Kingdom,EC2Y+5EA",,20.1,45.5
HYPERION INSURANCE GROUP LIMITED,"16+Eastcheap,London,United+Kingdom,EC3M+1BD",,33.2,55.9
I.T.LAB LIMITED,"Big+Studios+1,East+Poultry+Avenue,London,United+Kingdom,EC1A+9PT",Information technology consultancy activities,14.5,15.9
ICAP MANAGEMENT SERVICES LIMITED,"Tower+42,+Level+37,25+Old+Broad+Street,London,England,EC2N+1HQ",Activities of head offices,36.2,69.7
ICBC STANDARD BANK PLC,"20,+Gresham+Street,London,United+Kingdom,EC2V+7JE",Banks,22.1,45.0
IG INDEX LIMITED,"Cannon+Bridge+House,+25+Dowgate+Hill,London,EC4R+2YA",Gambling and betting activities,21.6,31.0
ING SERVICES LIMITED,"8-10+Moorgate+Moorgate,London,England,EC2R+6DA",Human resources provision and management of human resources functions,48.0,70.3
INN ON THE PARK (LONDON) LIMITED,"35,+Great+St.+Helen's,London,England,EC3A+6AP",Hotels and similar accommodation,11.1,66.0
INSIGHT INVESTMENT MANAGEMENT LIMITED,"160+Queen+Victoria+Street,London,United+Kingdom,EC4V+4LA",Activities of other holding companies n.e.c.,32.0,64.0
INS-SURE SERVICES LIMITED,"The+Walbrook+Building,25+Walbrook,London,United+Kingdom,EC4N+8AQ",Non-life insurance,45.0,39.0
INSTANT CASH LOANS LIMITED,"6+Bevis+Marks,London,United+Kingdom,EC3A+7BA",,23.3,6.4
INSTITUTE OF CHARTERED ACCOUNTANTS IN ENGLAND AND WALES,"Chartered+Accountants'+Hall,Moorgate+Place,London,EC2R+6EA",,36.8,50.0
INSURE THE BOX LIMITED,"88+Leadenhall+Street,LONDON,LONDON,EC3A+3BP",,19.0,-55.3
INTEGRAFIN SERVICES LIMITED,"29+Clement's+Lane,London,United+Kingdom,EC4N+7AE",Other business support service activities n.e.c.,4.3,11.7
INTEGRO INSURANCE BROKERS LIMITED,"71+Fenchurch+Street,London,United+Kingdom,EC3M+4BS",Activities of insurance agents and brokers,53.9,76.0
INTERACTIVE DATA (EUROPE) LIMITED,"Milton+Gate,60+Chiswell+Street,London,United+Kingdom,EC1Y+4SA",Other information service activities n.e.c.,15.7,11.4
INVESTEC ASSET MANAGEMENT LIMITED,"Woolgate+Exchange+25+Basinghall+Street,London,United+Kingdom,EC2V+5HA",Fund management activities,43.4,57.8
INVESTEC BANK PLC,"2,+Gresham+Street,London,EC2V+7QP",Banks,31.5,61.8
INVESTEC WEALTH & INVESTMENT LIMITED,"2+Gresham+Street,London,England,United+Kingdom,EC2V+7QP",Financial intermediation not elsewhere classified,50.8,82.9
Irg Advisors LLP,"20+Cannon+Street,London,United+Kingdom,EC4M+6XD",,27.1,45.5
ISG CONSTRUCTION LIMITED,"Aldgate+House,33+Aldgate+High+Street,London,United+Kingdom,EC3N+1AG",Construction of commercial buildings,40.5,-78.1
ISG FIT OUT LIMITED,"Aldgate+House,33+Aldgate+High+Street,London,United+Kingdom,EC3N+1AG",Construction of commercial buildings,45.7,66.3
ITELLIGENCE BUSINESS SOLUTIONS (UK) LIMITED,"12,+Gough+Square,London,EC4A+3DW",Information technology consultancy activities,25.0,42.0
J.M. Finn & Co.Ltd,"4+Coleman+Street,London,United+Kingdom,EC2R+5TA",Financial intermediation not elsewhere classified,40.0,69.0
JAGUAR BUILDING SERVICES LIMITED,"10,+Queen+Street+Place,London,United+Kingdom,EC4R+1AG",Combined facilities support activities,30.5,-169.2
JEFFERIES INTERNATIONAL LIMITED,"Vintners+Place,68+Upper+Thames+Street,London,United+Kingdom,EC4V+3BJ",Financial intermediation not elsewhere classified,52.6,77.8
JLT BENEFIT SOLUTIONS LIMITED,"The+St+Botolph+Building,138+Houndsditch,London,United+Kingdom,EC3A+7AW",Other activities auxiliary to insurance and pension funding,19.9,38.9
JLT MANAGEMENT SERVICES LIMITED,"The+St+Botolph+Building,138+Houndsditch,London,United+Kingdom,EC3A+7AW",Activities of head offices,13.7,20.9
JLT REINSURANCE BROKERS LIMITED,"The+St+Botolph+Building,138+Houndsditch,London,United+Kingdom,EC3A+7AW",Non-life insurance,50.5,76.1
JLT SPECIALTY LIMITED,"The+St+Botolph+Building,138+Houndsditch,London,United+Kingdom,EC3A+7AW",Non-life insurance,38.9,62.4
"Joh. Berenberg, Gossler & Co. KG - London Branch","60+Threadneedle+Street,London,EC2R+8HP",Banks,48.0,60.0
Johnson Matthey PLC,"5th+Floor+25+Farringdon+Street,London,United+Kingdom,EC4A+4AB",,6.4,15.4
KARMARAMA COMMS LIMITED,"30,+Fenchurch+Street,London,United+Kingdom,EC3M+3BD",Advertising agencies,26.6,62.9
KENNEDYS MANAGEMENT SERVICES LIMITED,"25+Fenchurch+Avenue,London,United+Kingdom,EC3M+5AD",Human resources provision and management of human resources functions,25.9,0.0
Kirkland & Ellis International LLP,"30+St+Mary+Axe,London,EC3A+8AF",Solicitors,68.2,74.3
KOBALT MUSIC GROUP LIMITED,"The+River+Building,1+Cousin+Lane,London,England,EC4R+3TE",Activities of head offices,16.4,0.0
LACOSTE UK LIMITED,"Holborn+Gate,326+-+330+High+Holborn,London,United+Kingdom,WC1V+7PP",,4.4,19.5
Latham & Watkins (London) LLP,"99+Bishopsgate,London,EC2M+3XF",Solicitors,38.9,83.0
LCH LIMITED,"Aldgate+House,33+Aldgate+High+Street,London,United+Kingdom,EC3N+1EA",Other business support service activities n.e.c.,21.9,23.1
LEAR CORPORATION (UK) LIMITED,"C/O+Tmf+Corporate+Administration+Services+Limited+5th+Floor,6+St.+Andrew+Street,London,United+Kingdom,EC4A+3AE",Manufacture of bodies (coachwork) for motor vehicles (except caravans),-5.1,8.9
LEGAL & GENERAL INVESTMENT MANAGEMENT (HOLDINGS) LIMITED,"One+Coleman+Street,London,United+Kingdom,EC2R+5AA",Activities of financial services holding companies,21.4,55.2
LEGAL & GENERAL RESOURCES LIMITED,"One+Coleman+Street,+London,EC2R+5AA",Activities of head offices,19.8,41.4
LEWIS & GRAVES MANAGEMENT SERVICES COMPANY LIMITED,"150+Aldersgate+Street,London,United+Kingdom,EC1A+4AB",Other cleaning services,0.0,0.0
LEWIS SILKIN LLP,"5,+Chancery+Lane,Cliffords+Inn,London,EC4A+1BL",,34.1,61.8
LIBERTY SPECIALTY MARKETS LIMITED,"20+Fenchurch+Street,London,United+Kingdom,EC3M+3AW",Activities of head offices,33.3,47.0
LIGHTSOURCE RENEWABLE ENERGY HOLDINGS LIMITED,"Level+7+33+Holborn,London,United+Kingdom,EC1N+2HU",Production of electricity,-0.2,-25.0
LIGS LIMITED,"The+St+Botolph+Building,138+Houndsditch,London,United+Kingdom,EC3A+7AG",Other business support service activities n.e.c.,33.0,57.0
LINK FUND ADMINISTRATORS LIMITED,"6th+Floor+65+Gresham+Street,London,United+Kingdom,EC2V+7NQ",Activities auxiliary to financial intermediation n.e.c.,21.6,-100.0
Linklaters Business Services,"One+Silk+Street,London,United+Kingdom,EC2Y+8HQ",Other business support service activities n.e.c.,39.1,62.1
LLOYDS BANK ASSET FINANCE LIMITED,"25,+Gresham+Street,London,EC2V+7HN",Financial intermediation not elsewhere classified,28.8,58.2
LLOYD'S REGISTER EMEA,"71+Fenchurch+Street,London,EC3M+4BS",,33.5,-48.9
LLOYD'S REGISTER GROUP SERVICES LIMITED,"71,+Fenchurch+Street,London,EC3M+4BS",Other business support service activities n.e.c.,32.4,39.6
LLOYD'S REGISTER QUALITY ASSURANCE LIMITED,"71+Fenchurch+Street,London,United+Kingdom,EC3M+4BS",Other business support service activities n.e.c.,34.0,0.0
London Stock Exchange PLC,"10+Paternoster+Square,London,United+Kingdom,EC4M+7LS",Administration of financial markets,9.0,26.3
LOUIS VUITTON UK LIMITED,"C/O+Browne+Jacobson+Llp,6+Bevis+Marks,London,United+Kingdom,EC3A+7BA",,2.0,-9.0
LSEG EMPLOYMENT SERVICES LIMITED,"10,+Paternoster+Square,London,EC4M+7LS",Human resources provision and management of human resources functions,21.4,25.4
M & G LIMITED,"Laurence+Pountney+Hill,London,United+Kingdom,EC4R+0HH",Activities of head offices,32.0,59.4
MACE LIMITED,"155+Moorgate,London,United+Kingdom,EC2M+6XB",,39.9,33.3
MACE MACRO LIMITED,"155+Moorgate,London,United+Kingdom,EC2M+6XB",Other business support service activities n.e.c.,10.3,37.5
MACFARLANES SERVICES LIMITED,"20+Cursitor+Street,London,United+Kingdom,EC4A+1LT",Other business support service activities n.e.c.,37.1,14.8
MACQUARIE BANK LIMITED,"Ropemaker+Place+28+Ropemaker+Street,,London,EC2Y+9HD",,53.1,70.1
MACQUARIE CORPORATE HOLDINGS PTY LIMITED,"Ropemaker+Place+28+Ropemaker+Street,,London,EC2Y+9HD",,60.1,81.8
MACQUARIE GROUP,"Ropemaker+Place+28+Ropemaker+Street,,London,EC2Y+9HD",,9.9,33.3
MAN GROUP SERVICES LIMITED,"Riverbank+House,+2+Swan+Lane,London,EC4R+3AD",Non-trading company,27.5,57.7
MANDARIN ORIENTAL HYDE PARK LIMITED,"3+Lombard+Street,London,United+Kingdom,EC3V+9AQ",Hotels and similar accommodation,0.8,40.6
MAREX FINANCIAL LIMITED,"155+Bishopsgate,London,United+Kingdom,EC2M+3TQ",Financial intermediation not elsewhere classified,31.0,53.0
MARKEL INTERNATIONAL SERVICES LIMITED,"20+Fenchurch+Street,London,United+Kingdom,EC3M+3AZ",Non-life insurance,36.8,67.0
MARRIOTT HOTELS LIMITED,"11+Old+Jewry+7th+Floor,London,United+Kingdom,EC2R+8DU",Hotels and similar accommodation,2.5,-7.7
MARSH SERVICES LIMITED,"1+Tower+Place+West,Tower+Place,London,United+Kingdom,EC3R+5BU",Other business support service activities n.e.c.,41.6,66.4
Mayer Brown International LLP,"201+Bishopsgate,London,United+Kingdom,EC2M+3AF",,34.2,24.1
MEDICAL CLIENTS PAYROLL LIMITED,"1st,+Floor+69+-+70+Long+Lane,London,United+Kingdom,EC1A+9EJ",Other activities of employment placement agencies,2.9,21.8
MERCER LIMITED,"1,+Tower+Place+West,Tower+Place,London,EC3R+5BU",Other business support service activities n.e.c.,31.1,71.4
MERGERMARKET LIMITED,"10+Queen+Street+Place,London,United+Kingdom,EC4R+1BE",Other publishing activities,25.3,23.1
Merrill Lynch International,"2+King+Edward+Street,London,United+Kingdom,EC1A+1HQ",Financial intermediation not elsewhere classified,46.7,80.7
MIKI TRAVEL LIMITED,"Vintners+Place,68+Upper+Thames+Street,London,United+Kingdom,EC4V+3BJ",,27.6,24.3
MILLER INSURANCE SERVICES LLP,"70,+Mark+Lane,London,EC3R+7NQ",,29.9,57.7
MIMECAST SERVICES LIMITED,"6th+Floor+Citypoint,One+Ropemaker+Street,London,United+Kingdom,EC2Y+9AW",Information technology consultancy activities,31.5,19.6
Mintel Group Ltd,"11+Pilgrim+Street,London,United+Kingdom,EC4V+6RN",Market research and public opinion polling,12.4,18.5
"MIZUHO BANK, LTD.","Mizuho+Bank+30+Old+Bailey,,London,EC4M+7AU",,33.3,49.6
Mizuho International PLC,"Mizuho+House,30+Old+Bailey,London,England,EC4M+7AU",,37.7,47.0
Moore Stephens LLP,"150+Aldersgate+Street,London,United+Kingdom,EC1A+4AB",,19.3,57.5
MORGAN HUNT UK LIMITED,"125,+London+Wall,London,EC2Y+5AS",Other activities of employment placement agencies,14.8,46.5
MOUCHEL LIMITED,"Wsp+House,70+Chancery+Lane,London,United+Kingdom,WC2A+1AF","Other professional, scientific and technical activities n.e.c.",11.1,-7.5
MULTIPLEX CONSTRUCTION EUROPE LIMITED,"1+Broadgate+First+Floor,London,England,EC2M+2QS",Other specialised construction activities n.e.c.,47.2,46.5
MUNICH RE UK SERVICES LIMITED,"Plantation+Place,30+Fenchurch+Street,London,United+Kingdom,EC3M+3AJ",,35.9,46.9
Museum of London,"150+London+Wall,London,EC2Y+5HN",Museums activities,3.5,90.0
MYCITYDEAL LIMITED,"Floors+2-6+Seal+House,1+Swan+Lane,London,United+Kingdom,EC4R+3TN",Other business support service activities n.e.c.,5.7,25.1
N. M. ROTHSCHILD & SONS LIMITED,"New+Court,St+Swithin's+Lane,London,United+Kingdom,EC4N+8AL",Activities auxiliary to financial intermediation n.e.c.,55.8,86.9
National Association Of Citizens Advice Bureaux(The),"3rd+Floor+North,200+Aldersgate,London,United+Kingdom,EC1A+4HD",,23.9,0.0
NATIONAL AUSTRALIA BANK,"88+Wood+Street,,London,EC2V+7QQ",,29.0,46.0
Natixis,"Natixis+Canon+Bridge+House,25+Dowgate+Hill,LONDON,LONDON,United+Kingdom,EC4R+2YA",,31.8,58.2
NAVOLIO LIMITED,"1st,+Floor,+36-37+King+Street+King+Street,London,EC2V+8BB",,1.8,-16.2
NEWTON INVESTMENT MANAGEMENT LIMITED,"Bny+Mellon+Centre,160+Queen+Victoria+Street,London,United+Kingdom,EC4V+4LA",Fund management activities,20.0,57.0
NEX Group PLC,"2+Broadgate,London,United+Kingdom,EC2M+7UR",Activities of head offices,31.0,41.0
NHS PROPERTY SERVICES LIMITED,"99+Gresham+Street,London,United+Kingdom,EC2V+7NG",Management of real estate on a fee or contract basis,19.2,12.3
Nomura International PLC,"1+Angel+Lane,London,United+Kingdom,EC4R+3AB",Financial intermediation not elsewhere classified,36.9,64.6
NORWEGIAN OSM UK LTD,"150,+Aldersgate+Street,London,EC1A+4AB",Other activities of employment placement agencies,45.3,0.0
NOVAE MANAGEMENT LIMITED,"21+Lombard+Street,London,United+Kingdom,EC3V+9AH",Other business support service activities n.e.c.,45.4,61.1
NTT DATA UK LIMITED,"2+Royal+Exchange,London,United+Kingdom,EC3V+3DG",Other information service activities n.e.c.,24.7,28.5
Ntt Europe Ltd.,"1+King+William+Street,London,England,EC4N+7AR",,36.9,52.6
NUSERVE LIMITED,"New+Bridge+Street+House,+30-34+New+Bridge+Street,London,England,EC4V+6BJ",General cleaning of buildings,-4.6,0.0
OCEANEERING INTERNATIONAL SERVICES LIMITED,"100+New+Bridge+Street,London,United+Kingdom,EC4V+6JA",Other service activities n.e.c.,22.2,-9.4
OCTOPUS CAPITAL LIMITED,"6th,+Floor,+33+Holborn,London,EC1N+2HT",Security and commodity contracts dealing activities,40.3,71.9
OFFICE ANGELS LIMITED,"Millennium+Bridge+House,2+Lambeth+Hill,London,United+Kingdom,EC4V+4BG",Temporary employment agency activities,-3.3,-73.5
OLIVER WYMAN LIMITED,"1+Tower+Place+West,Tower+Place,London,United+Kingdom,EC3R+5BU",Other service activities n.e.c.,42.0,61.0
OLSWANG SERVICES LIMITED,"Cannon+Place,78+Cannon+Street,London,England,EC4N+6AF",Other business support service activities n.e.c.,34.4,41.8
ONESUBSEA UK LIMITED,"100+New+Bridge+Street,London,United+Kingdom,EC4V+6JA",Manufacture of other special-purpose machinery n.e.c.,19.8,64.9
Osborne Clarke LLP,"One+London+Wall,London,United+Kingdom,EC2Y+5EB",,31.7,36.7
PARAGON CUSTOMER COMMUNICATIONS (LONDON) LIMITED,"Lower+Ground+Floor,+Park+House,+16/18,+Finsbury+Circus,London,England,EC2M+7EB",Other service activities n.e.c.,34.8,67.6
PARAGON CUSTOMER COMMUNICATIONS (NOTTINGHAM) LIMITED,"Lower+Ground+Floor,+Park+House,+16/18,Finsbury+Circus,London,England,EC2M+7EB",Printing n.e.c.,21.9,60.6
PARTNERSHIP SERVICES LIMITED,"5th+Floor+110+Bishopsgate,London,United+Kingdom,EC2N+4AY",Other business support service activities n.e.c.,38.5,24.3
PARTS ALLIANCE GROUP LIMITED,"15th+Floor+6+Bevis+Marks,Bury+Court,London,United+Kingdom,EC3A+7BA",Retail trade of motor vehicle parts and accessories,0.0,0.0
PAUL U.K. LIMITED,"The+Broadgate+Tower+3rd+Floor,20+Primrose+Street,London,United+Kingdom,EC2A+2RS",,9.3,1.9
Penningtons Manches LLP,"125+Wood+Street,London,United+Kingdom,EC2V+7AW",,4.0,33.3
PETERSON (UNITED KINGDOM) LIMITED,"St.+Bride's+House,10+Salisbury+Square,London,United+Kingdom,EC4Y+8EH",,16.8,41.2
PGDS (UK ONE) LIMITED,"Laurence+Pountney+Hill,London,United+Kingdom,EC4R+0HH",Other information technology service activities,11.4,28.1
PHARM RESEARCH ASSOCIATES (UK) LIMITED,"Cannon+Place,+78+Cannon+Street,London,United+Kingdom,EC4N+6AF","Data processing, hosting and related activities",4.2,22.2
PHILLIPS 66 LIMITED,"7th,+Floor,200-202+Aldersgate+Street,London,EC1A+4HD",Extraction of crude petroleum,-0.7,3.3
PIB GROUP LIMITED,"5th,+Floor+68+Lombard+Street,London,London,EC3V+9LJ",Activities of insurance agents and brokers,35.8,25.0
PICTET ASSET MANAGEMENT LIMITED,"Moor+House+Level+11,120+London+Wall,London,United+Kingdom,EC2Y+5ET",Financial intermediation not elsewhere classified,31.0,73.0
PINNACLE HOUSING LIMITED,"First+Floor,6+St+Andrew+Street,London,United+Kingdom,EC4A+3AE",Management of real estate on a fee or contract basis,5.8,-16.7
PLACES FOR PEOPLE GROUP LIMITED,"80+Cheapside,London,United+Kingdom,EC2V+6EE",Activities of head offices,27.7,96.0
Places For People Homes Limited,"80+Cheapside,London,United+Kingdom,EC2V+6EE",,6.3,91.0
PLACES FOR PEOPLE LEISURE LIMITED,"80+Cheapside,London,United+Kingdom,EC2V+6EE",Operation of sports facilities,-20.2,23.9
PONTOON EUROPE LIMITED,"Millennium+Bridge+House,2+Lambeth+Hill,London,United+Kingdom,EC4V+4BG",,0.0,5.7
POWERFORCE FIELD MARKETING AND RETAIL SERVICES LIMITED,"C/O+Legalinx+Ltd,+1+Fetter+Lane,London,EC4A+1BR","Other professional, scientific and technical activities n.e.c.",7.3,-8.5
Precise Media Monitoring Ltd,"1+Broadgate,London,United+Kingdom,EC2M+2QS",News agency activities,2.1,-347.0
PRICE FORBES & PARTNERS LIMITED,"2+Minster+Court,Mincing+Lane,London,United+Kingdom,EC3R+7PD",Non-life insurance,57.0,80.0
PRO INSURANCE SOLUTIONS LIMITED,"88+Leadenhall+Street,London,United+Kingdom,EC3A+3BP",Activities of insurance agents and brokers,28.0,60.0
PRO UNLIMITED GLOBAL LTD,"107-111,+Fleet+Street+Suite+202,London,United+Kingdom,EC4A+2AB",,20.0,-100.0
PRUDENTIAL FINANCIAL PLANNING LIMITED,"Laurence+Pountney+Hill,London,United+Kingdom,EC4R+0HH",Non-trading company,4.1,10.2
PRUDENTIAL SERVICES LIMITED,"Laurence+Pountney+Hill,London,United+Kingdom,EC4R+0HH",Other business support service activities n.e.c.,27.2,48.3
QBE MANAGEMENT SERVICES (UK) LIMITED,"Plantation+Place,30+Fenchurch+Street,London,United+Kingdom,EC3M+3BD",,32.5,49.5
R&Q CENTRAL SERVICES LIMITED,"71,+Fenchurch+Street,London,United+Kingdom,EC3M+4BS",Other business support service activities n.e.c.,31.9,50.0
RABOBANK LONDON,"Thames+Court,One+Queenhithe,London,EC4V+3RL",,22.2,28.0
RAMSAY HEALTH CARE UK OPERATIONS LIMITED,"Level+18,+Tower+42+25+Old+Broad+Street,London,United+Kingdom,EC2N+1HQ",Hospital activities,6.1,27.8
RAPISCAN SYSTEMS LIMITED,"One,New+Change,London,England,EC4M+9AF",Other business support service activities n.e.c.,28.2,0.0
RATHBONE BROTHERS PUBLIC LIMITED COMPANY,"8+Finsbury+Circus,London,England,EC2M+7AZ",Activities of financial services holding companies,47.2,84.7
RBC EUROPE LIMITED,"Riverbank+House,2+Swan+Lane,London,United+Kingdom,EC4R+3BF",Banks,57.0,86.0
"RBC INVESTOR SERVICES TRUST, UK BRANCH","Riverbank+House+2+Swan+Lane,,London,EC4R+3AF",,28.0,62.0
RED HAT UK LIMITED,"Peninsular+House+30-36+Monument+Street,4th+Floor,London,England,EC3R+8NB",Information technology consultancy activities,32.5,40.0
RedstoneConnect PLC,"40+Holborn+Viaduct,London,England,EC1N+2PB",Other business support service activities n.e.c.,16.0,-39.0
REED & MACKAY TRAVEL LIMITED,"Nexus+Place,25+Farringdon+Street,London,United+Kingdom,EC4A+4AF",Travel agency activities,9.0,-7.0
Reed Smith LLP,"The+Broadgate+Tower,20+Primrose+Street,London,United+Kingdom,EC2A+2RS",,37.1,13.2
Regenersis (Glenrothes) Ltd,"6th+Floor+60+Gracechurch+Street,London,United+Kingdom,EC3V+0HR",Manufacture of computers and peripheral equipment,9.4,36.8
RENAULT SPORT RACING LIMITED,"16+Old+Bailey,London,United+Kingdom,EC4M+7EG",,22.0,0.0
RENDALL & RITTNER LIMITED,"Portsoken+House,+155+-+157+Minories,London,EC3N+1LJ",Management of real estate on a fee or contract basis,-3.6,-26.9
RESOURCE EXPERIENCE LIMITED,"C/O+Legalinx+Ltd,+1+Fetter+Lane,London,United+Kingdom,EC4A+1BR","Other professional, scientific and technical activities n.e.c.",16.8,16.6
RICHMOND VILLAGES OPERATIONS LIMITED,"1+Angel+Court,London,United+Kingdom,EC2R+7HJ",Other human health activities,7.5,0.0
RILEYS SPORTS BARS (2014) LIMITED,"10+Queen+Street+Place,London,United+Kingdom,EC4R+1AG",Licensed clubs,8.5,82.7
ROOFOODS LTD,"The+River+Building+-+Level+1+Cannon+Bridge+House,1+Cousin+Lane,London,United+Kingdom,EC4R+3TE",Web portals,12.5,-22.7
Rowan Companies PLC,"Cannon+Place,+78+Cannon+Street,London,United+Kingdom,EC4N+6AF",Support activities for petroleum and natural gas extraction,27.8,14.7
ROWSE HONEY LIMITED,"35,+Great+St.+Helen's,London,England,EC3A+6AP",,0.0,0.0
ROYAL BANK OF CANADA,"Riverbank+House+2+Swan+Lane,,London,EC4R+3BF",,30.0,60.0
"ROYAL LONDON MUTUAL INSURANCE SOCIETY,LIMITED(THE)","55+Gracechurch+Street,London,United+Kingdom,EC3V+0RL",Other activities auxiliary to insurance and pension funding,28.4,43.7
ROYAL MAIL GROUP LIMITED,"100+Victoria+Embankment,London,United+Kingdom,EC4Y+0HQ",Postal activities under universal service obligation,1.5,0.0
RPMI LIMITED,"7th+Floor+Exchange+House,12+Exchange+Square,London,United+Kingdom,EC2A+2NY",Pension funding,33.7,24.3
RSM UK MANAGEMENT LIMITED,"6th+Floor+25+Farringdon+Street,London,United+Kingdom,EC4A+4AB",Other business support service activities n.e.c.,21.5,0.0
RSM UK Tax and Accounting Limited,"6th+Floor+25+Farringdon+Street,London,United+Kingdom,EC4A+4AB",Other business support service activities n.e.c.,16.7,0.0
S THREE MANAGEMENT SERVICES LIMITED,"8th,+Floor,+City+Place,55+Basinghall+Street,London,England,EC2V+5DX",Non-trading company,20.8,1.4
S.K. CHILLED FOODS LIMITED,"5+Fleet+Place,London,United+Kingdom,EC4M+7RD",Other processing and preserving of fruit and vegetables,8.7,50.0
SAATCHI & SAATCHI GROUP LTD,"Tooks+Court,+40+Chancery+Lane,London,England,WC2A+1JA",Advertising agencies,6.7,45.0
SAFFERY CHAMPNESS LLP,"71,+Queen+Victoria+Street,London,United+Kingdom,EC4V+4BE",,3.6,0.0
Sainsbury's Bank PLC,"33+Holborn,London,United+Kingdom,EC1N+2HT",Banks,45.3,91.3
SAINSBURY'S SUPERMARKETS LTD,"33+Holborn,London,United+Kingdom,EC1N+2HT","Retail sale in non-specialised stores with food, beverages or tobacco predominating",5.1,30.3
SALESFORCE.COM EMEA LIMITED,"Floor+26+Salesforce+Tower,110+Bishopsgate,London,United+Kingdom,EC2N+4AY",Other information technology service activities,33.9,65.2
SAMBA LONDON LIMITED,"C/O+SUSHISAMBA+LONDON,Heron+Tower+110+Bishopsgate,London,United+Kingdom,EC2N+4AY",Licensed restaurants,0.0,91.1
SCHRODER & CO. LIMITED,"31+Gresham+Street,London,United+Kingdom,EC2V+7QA",,44.8,79.3
SCHRODER INVESTMENT MANAGEMENT LIMITED,"31+Gresham+Street,London,United+Kingdom,EC2V+7QA",,28.9,60.0
SCOTTISH SEA FARMS LIMITED,"C/O+SHEPHERD+AND+WEDDERBURN+LLP,Condor+House,10+St+Paul's+Churchyard,London,United+Kingdom,EC4M+8AL",Marine aquaculture,-3.0,0.0
SERVICE GRAPHICS LIMITED,"One+Tudor+Street,London,United+Kingdom,EC4Y+0AH",Printing n.e.c.,9.6,30.1
SETSQUARE RECRUITMENT LIMITED,"222,+Bishopsgate,London,United+Kingdom,EC2M+4QD",,-10.4,-50.0
SGS BUSINESS PROCESS SERVICES (UK) LIMITED,"50+-+52+Chancery+Lane,London,United+Kingdom,WC2A+1HL",,-1.2,-33.0
Silver Birch Academy Trust,"68+King+William+Street,EC4N+7HR",,37.0,0.0
Simmons & Simmons LLP,"Citypoint,One+Ropemaker+Street,London,United+Kingdom,EC2Y+9SS",,27.9,58.8
SLATER & GORDON (UK) 1 LIMITED,"50-52,+Chancery+Lane,London,WC2A+1HL",,31.7,48.0
SMITH & WILLIAMSON CORPORATE SERVICES LIMITED,"25+Moorgate,London,United+Kingdom,EC2R+6AY",Other business support service activities n.e.c.,15.3,28.8
SMYTHS TOYS UK LIMITED,"Royds+Withy+King,+69,Carter+Lane,London,England,EC4V+5EQ",Retail sale of games and toys in specialised stores,0.0,48.0
SOGETI UK LIMITED,"85+London+Wall,London,United+Kingdom,EC2M+7AD",Information technology consultancy activities,0.7,98.5
SP GROUP LIMITED,"One+Tudor+Street,London,United+Kingdom,EC4Y+0AH",Printing n.e.c.,9.4,0.0
SPIE LIMITED,"2nd+Floor+33,Gracechurch+Street,London,United+Kingdom,EC3V+0BT",Other business support service activities n.e.c.,38.5,63.8
SPIRE HEALTHCARE LIMITED,"3,+Dorset+Rise,London,EC4Y+8EN",Hospital activities,7.9,60.0
SQS GROUP LIMITED,"7+Moorgate,London,United+Kingdom,EC2R+6AF",,17.8,54.6
Squire Patton Boggs (UK) LLP,"7+Devonshire+Square,Cutlers+Gardens,London,United+Kingdom,EC2M+4YH",,20.2,50.0
SSI EUROPE UK LIMITED,"5,+New+Street+Square,London,EC4A+3TW",Other business support service activities n.e.c.,13.0,24.0
Standard Chartered Bank,"1+Basinghall+Avenue,London,United+Kingdom,EC2V+5DD",Banks,31.4,55.1
Standard Chartered PLC,"1+Basinghall+Avenue,London,United+Kingdom,EC2V+5DD",Financial intermediation not elsewhere classified,31.4,55.1
STARLING BANK LIMITED,"3rd,+Floor+2+Finsbury+Avenue,London,United+Kingdom,EC2M+2PP",Banks,48.9,0.0
STEELITE INTERNATIONAL LIMITED,"The+Broadgate+Tower+Third+Floor,20+Primrose+Street,London,United+Kingdom,EC2A+2RS",Manufacture of other ceramic products n.e.c.,2.3,0.0
STEPHENSON HARWOOD SERVICES LIMITED,"1+Finsbury+Circus,London,United+Kingdom,EC2M+7SH",Solicitors,39.8,62.4
STEVEN EAGELL LIMITED,"10+Queen+Street+Place,London,United+Kingdom,EC4R+1AG",Sale of new cars and light motor vehicles,13.5,42.7
Stewarts Law LLP,"5+New+Street+Square,London,United+Kingdom,EC4A+3BF",,17.7,50.0
Sthree Partnership LLP,"8th+Floor,+City+Place,+55+Basinghall+Street,London,England,EC2V+5DX",,13.1,36.4
STIFEL NICOLAUS EUROPE LIMITED,"4th,+Floor+150+Cheapside,London,United+Kingdom,EC2V+6ET",Security and commodity contracts dealing activities,65.8,83.3
SUMITOMO MITSUI BANKING CORPORATION EUROPE LIMITED,"99,+Queen+Victoria+Street,London,EC4V+4EH",Banks,34.9,62.6
"SWISS RE MANAGEMENT LTD, UK BRANCH","30,+St+Mary+Axe,London,EC3A+8EP",,32.0,54.0
SWISS RE SERVICES LIMITED,"30+St+Mary+Axe,London,United+Kingdom,EC3A+8EP",Other business support service activities n.e.c.,42.0,53.0
